rank,name,confed,off,def,spi
1,Spain,UEFA,3.4,0.58,90.93
2,Brazil,CONMEBOL,2.91,0.37,90.65
3,Germany,UEFA,3.11,0.59,88.78
4,Belgium,UEFA,2.95,0.56,87.97
5,Argentina,CONMEBOL,2.57,0.42,86.98
6,Netherlands,UEFA,2.83,0.58,86.51
7,England,UEFA,2.71,0.54,86.09
8,France,UEFA,2.69,0.54,85.77
9,Colombia,CONMEBOL,2.22,0.39,83.67
10,Uruguay,CONMEBOL,2.35,0.49,83.22
11,Portugal,UEFA,2.39,0.57,82.08
12,Italy,UEFA,2.26,0.5,81.95
13,Switzerland,UEFA,2.42,0.69,79.78
14,Croatia,UEFA,2.45,0.74,79.28
15,Russia,UEFA,2.23,0.72,76.67
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Denmark,UEFA,2.08,0.66,75.84
18,Chile,CONMEBOL,2.11,0.68,75.77
19,Sweden,UEFA,2.09,0.7,74.95
20,Austria,UEFA,2.05,0.68,74.94
21,Ukraine,UEFA,1.96,0.7,72.88
22,Iran,AFC,1.84,0.62,72.72
23,Peru,CONMEBOL,1.9,0.68,72.32
24,Serbia,UEFA,2.11,0.87,71.48
25,Norway,UEFA,1.93,0.78,70.49
26,Poland,UEFA,1.88,0.75,70.24
27,Senegal,CAF,1.65,0.59,70.15
28,Ghana,CAF,1.64,0.58,69.93
29,USA,CONCACAF,1.88,0.77,69.75
30,Bosnia and Herzegovina,UEFA,2.02,0.88,69.73
31,Algeria,CAF,1.93,0.82,69.51
32,Japan,AFC,1.94,0.86,68.8
33,Czech Republic,UEFA,1.98,0.9,68.63
34,Venezuela,CONMEBOL,1.83,0.78,68.63
35,Wales,UEFA,1.77,0.75,68.22
36,Turkey,UEFA,1.86,0.83,68.11
37,Ecuador,CONMEBOL,1.81,0.8,67.71
38,Paraguay,CONMEBOL,1.79,0.79,67.54
39,Morocco,CAF,1.62,0.68,67.25
40,Australia,AFC,1.97,0.96,67.12
41,Slovakia,UEFA,1.94,0.94,66.8
42,Ivory Coast,CAF,1.73,0.86,65.0
43,Mali,CAF,1.59,0.74,64.95
44,South Korea,AFC,1.56,0.8,62.97
45,Nigeria,CAF,1.76,0.97,62.9
46,Romania,UEFA,1.63,0.89,61.99
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Iceland,UEFA,1.78,1.03,61.73
49,Egypt,CAF,1.6,0.94,60.19
50,Tunisia,CAF,1.52,0.87,60.18
51,Cameroon,CAF,1.49,0.87,59.42
52,Northern Ireland,UEFA,1.46,0.86,59.01
53,Qatar,AFC,1.58,0.98,58.69
54,Scotland,UEFA,1.6,1.02,58.31
55,Slovenia,UEFA,1.46,0.92,57.72
56,Finland,UEFA,1.52,0.97,57.71
57,Greece,UEFA,1.37,0.85,57.37
58,Rep of Ireland,UEFA,1.36,0.84,57.27
59,Canada,CONCACAF,1.7,1.16,57.25
60,Uzbekistan,AFC,1.47,0.97,56.48
61,Zambia,CAF,1.66,1.19,55.72
62,Congo DR,CAF,1.54,1.09,55.54
63,Israel,UEFA,1.67,1.21,55.5
64,Hungary,UEFA,1.51,1.07,55.23
65,Honduras,CONCACAF,1.6,1.16,55.12
66,Kosovo,UEFA,1.51,1.09,54.62
67,Iraq,AFC,1.34,0.93,54.57
68,Burkina Faso,CAF,1.35,1.01,53.03
69,Georgia,UEFA,1.38,1.06,52.43
70,Bolivia,CONMEBOL,1.49,1.19,51.92
71,Haiti,CONCACAF,1.47,1.19,51.6
72,Belarus,UEFA,1.31,1.04,51.27
73,China PR,AFC,1.24,0.98,51.05
74,Saudi Arabia,AFC,1.49,1.24,50.81
75,South Africa,CAF,1.39,1.17,50.25
76,Guinea,CAF,1.3,1.08,50.08
77,Montenegro,UEFA,1.34,1.13,49.81
78,Angola,CAF,1.18,0.98,49.72
79,FYR Macedonia,UEFA,1.3,1.11,49.58
80,Panama,CONCACAF,1.29,1.09,49.55
81,Libya,CAF,1.4,1.23,49.03
82,Bulgaria,UEFA,1.34,1.2,48.34
83,Albania,UEFA,1.26,1.11,48.32
84,Uganda,CAF,1.09,0.95,48.03
85,Armenia,UEFA,1.61,1.5,47.85
86,Gabon,CAF,1.06,0.95,47.36
87,Togo,CAF,1.24,1.16,46.7
88,Zimbabwe,CAF,1.39,1.32,46.66
89,Benin,CAF,1.2,1.14,46.41
90,Jamaica,CONCACAF,1.31,1.25,46.4
91,Tanzania,CAF,1.27,1.21,46.36
92,Syria,AFC,1.53,1.49,46.32
93,New Zealand,OFC,1.28,1.29,44.99
94,Cape Verde Islands,CAF,1.11,1.15,43.96
95,Oman,AFC,1.06,1.09,43.93
96,Kenya,CAF,1.0,1.04,43.6
97,El Salvador,CONCACAF,1.1,1.17,43.24
98,Burundi,CAF,1.0,1.05,43.22
